ID,Name,Status,Priority,Area,Page,Evidence,Fix
UX-01,"Debug ""SVG"" badge renders on every chart in production",Backlog,P1,Chart,"/","A 8px ""SVG"" pill is painted at top-left of each chartbox — visible at 1280px and 360px, twice on the home page. Carries no explaining comment, unlike every other non-obvious choice in this codebase.","Delete the badge span at LineChart.tsx:257-259 and MoneyFlowByYear.tsx:262-264. Trialled locally and verified clean (0 left in DOM, charts unchanged), then reverted pending owner approval."
UX-02,Workbook viewer's Fabula pre-scoping is undiscoverable,Backlog,P2,Affordance,/explore/sheets,"The page opens with the search box reading ""fab"" and rows already filtered. Per WorkbookViewer.tsx:535 this is deliberate — company sheets are scoped to Fabula so other rows open on click — but the reader sees a three-letter fragment that looks like a stray keystroke, with nothing saying the grid is filtered or that 130 other agencies exist.","Not a leftover; do not just delete it. Replace the raw query text with a removable chip (""Showing: Fabula ×"") so the scoping is stated and clearing it is obvious."
UX-03,Footer text fails contrast at 1.35:1,Backlog,P1,A11y,all,"Computed color srgb(0.150 0.163 0.193) on bg rgb(10,12,17) = 1.35:1. WCAG AA needs 4.5:1 for 11px body text.","`.letterpress` (globals.css:457) tints below the page floor. Raise to at least text-muted, drop opacity-80, or reserve letterpress for decorative-only text."
UX-04,Stray € glyph floating on the segment line-chart y-axis,Backlog,P1,Chart,"/","A lone ""€"" renders between the €20.0M and €15.0M ticks, unaligned with the axis and clipped.",Axis unit label is positioned off its anchor — either place it above the top tick or drop it since every tick already carries €.
UX-05,Coverage table year headers collapse into an unreadable run,Backlog,P1,Table,/explore,"At 360px the year header row reads ""201201201202202"" — headers overlap with zero gap and are unreadable.","Rotate, abbreviate to two digits ('21 '22), or switch to stacked cards per AGENTS rubric #1."
UX-06,Top-ranked bar loses its value label,Backlog,P1,Chart,/companies,"The #1 bar spans the full plot so its label is pushed off-plot and omitted — every other row shows one. Reads as missing data.",Place the label inside the bar when the outside position would overflow (mirror the pattern already used on the gold highlighted row).
UX-07,"""Per employee"" truncated to ""Per employe"" in the bottom bar",Backlog,P1,Nav,"/","At 1280px viewport the fixed bottom bar clips the last control's label mid-word.",Bottom bar's inner track has no room reserve; widen the container or let the group wrap rather than clip.
UX-08,Company pill grid clips its right-most column with no affordance,Backlog,P2,Layout,"/, /companies","Ogilvy €8.2M / Mediacom €7.5M / Pirmoji Kava €5.6M are sliced mid-pill at the container edge; nothing signals the row scrolls.",Add an edge fade mask + scroll cue to CompanyStrip's scroller.
UX-09,Segment and metric pill rows clip at the right edge,Backlog,P2,Layout,"/, /companies","Segment pills end at ""Product…"" (desktop) and ""Consultin…"" (phone); metric tabs end at ""Emplo…"".",Same fix class as UX-08 — one shared scroller primitive with a fade.
UX-10,End-of-series line labels overlap and clip,Backlog,P2,Chart,"/","""Media"" sits on ""Digital media""; ""Events"" / ""Production ho"" / ""BTL"" collide into one block, and the widest clips at the container edge.",Collision-resolve the label column (nudge apart vertically) and reserve right padding for the widest label.
UX-11,YoY delta badges float between bars — ownership ambiguous,Backlog,P2,Chart,"/","+17%, +14%, +2%, -6% each sit in the gap between two bars and at different heights, so it is unclear which year each describes.",Anchor each badge above its own bar at a fixed offset from the bar top.
UX-12,Payroll labels butt against the revenue bar and the last one clips,Backlog,P2,Chart,"/","73.2M / 86.3M / 90.6M / 93.4M start flush at the yellow bar's left edge; 93.3M (2025) is cut by the plot's right edge.",Give the labels a gap and flip them left of the bar when they'd overflow.
UX-13,Rankings x-axis ticks collide with zero gap on phone,Backlog,P2,Chart,/companies,"Reads ""€0.00M€0.50M€1.00M€1.50M€2.00M€2.50M€3.00M€3.50M"" as one unbroken string.",Thin the tick count by available width and drop the € from every tick but the first.
UX-14,Scatter x-axis emits duplicate tick labels,Backlog,P2,Chart,"/","The log axis prints ""€1.0M €1.0M"" and ""€5.0M €5.0M"" — distinct tick positions rounding to the same label.",Increase label precision or de-duplicate ticks after formatting.
UX-15,Scatter metric and scale controls are rendered twice,Backlog,P2,Layout,"/","Turnover/Revenue/Net profit/Margin %/Employees + Log/Linear appear both as a left rail inside the plot and again in the card footer.",Keep one — the footer row is the one that matches the other cards.
UX-16,Small rankings bars: name label spills out and collides with the value,Backlog,P2,Chart,/companies,"""Eventum Group€0.09M"", ""Love media€0.15M"", ""360 Sportas"" overflowing a 12px bar.",Move the name outside the bar when the bar is narrower than the label.
UX-17,Highlighted bar puts its value inside the bar in low-contrast blue-on-yellow,Backlog,P2,Chart,/companies,"Fabula's €2.92M renders inside the gold bar in the accent blue; every other row has a white label outside.",Use the same outside-label treatment; if inside is intentional, switch to the dark ink token.
UX-18,Bar fills do not match the legend swatches,Backlog,P2,Chart,"/","Legend: Payroll = grey, Turnover = blue. The tall bar is grey-filled with a blue outline, so the swatch does not identify the mark.",Fill the turnover bar with the turnover colour (or make the legend show outline+fill as drawn).
UX-19,~120px of dead space between the data-sources block and the company strip,Backlog,P3,Layout,"/, /companies","Desktop home: empty band from the DATA SOURCES row down to the pill grid, and again below the pills before the fixed bar.",Tighten the header's bottom margin; rubric #3 — content should get the room.
UX-20,Sheets/model control rows stagger ragged across four right-aligned rows,Backlog,P3,Layout,"/explore/sheets, /explore/model","At 360px the 6-7 control buttons wrap into four rows with different right offsets, consuming ~470px — a third of the viewport before any data.",Use one wrapping flex row with consistent alignment and smaller controls on phone.
UX-21,Provenance line wraps mid-token,Backlog,P3,Typography,/explore/model,"""scraped 2026-"" / ""07-22"" breaks across lines. AGENTS rubric #2 forbids atomic-token wrapping.",Wrap the date in a non-breaking span.
UX-22,"""Every agency 2025 · by turnover"" wraps atomically on phone",Backlog,P3,Typography,"/, /companies","Renders as ""Every / agency"" and ""2025 · / by turnover"" — both split mid-value.",whitespace-nowrap on each control; let the row scroll instead of wrapping.
UX-23,Empty Financials state uses a full-width card for one sentence,Backlog,P3,Layout,/companies,"A ~90px bordered card holds ""No company selected — pick one above to see its financials.""",Inline the hint under the heading; drop the card chrome when empty.
UX-24,Comma decimal used in one place only,Backlog,P3,Consistency,/explore/model,"""+1,77%"" while the rest of the app uses ""€33.0M"", ""-6%"", ""€2.92M"".",Route it through the shared format helper in market-rough/format.ts.
UX-25,Lithuanian and English labels mixed while an English toggle is offered,Backlog,P3,Consistency,/explore,"Tabs read Įmonė / Finansai / Darbuotojai / Skolos and fields read Pavadinimas / Brandas next to an ""English"" switch that is already on.",Decide what the English toggle covers and label it accordingly — or translate the tab and field names too.
UX-26,Workbook and model grids are unusable at 360px,Backlog,P3,Responsive,"/explore/sheets, /explore/model","Sheets shows only the Pavadinimas column; model shows Rodiklis with an empty value column — no figures visible at all.",Pin the first column and let the value columns scroll horizontally; or offer a stacked per-row card view on phone.
UX-27,Keyboard-hint clusters take ~110px of desktop hero space,Backlog,P3,Layout,"/, /companies","PREV YEAR / SEGMENT / NEXT YEAR and the F+arrows COMPANY cluster sit centred in the hero, disconnected from what they drive.",Move to a dismissible hint near the bottom bar they actually control.
